epoch,acc,loss,val_acc,val_loss
0,0.22169888,2.6828202613840566,0.22296855,1.6334615786453688
1,0.23021789,1.66128041859848,0.22296855,1.606640361239682
2,0.23165138,1.6425351565349773,0.2257536,1.604342293145616
3,0.23369922,1.630126662991775,0.2232962,1.604912383996956
4,0.23288009,1.6139554463395285,0.2257536,1.6048481681556253
5,0.23365825,1.6162973440802737,0.22411533,1.6057605649665643
6,0.2332487,1.6139248426744854,0.22427917,1.6051592481558163
7,0.23222478,1.6202546219057055,0.22477064,1.604892698059232
8,0.23304391,1.6407103063550876,0.2257536,1.6051425858843842
9,0.2333306,1.619193983265488,0.2239515,1.6045757953961273
10,0.23374017,1.619958051222805,0.22608125,1.606576664732137
11,0.2326753,1.6243422812590593,0.22460681,1.6082345362884503
12,0.2336173,1.6126561899172682,0.22378768,1.6054080996569613
13,0.23279816,1.6444333312083352,0.22493447,1.6046559370048392
14,0.23365825,1.6285452061524397,0.22460681,1.606813418912075
15,0.23398592,1.6187481074001968,0.2250983,1.6053353863649882
16,0.23374017,1.6266068746659266,0.2232962,1.6071055482286927
17,0.2336173,1.6174412729855758,0.22460681,1.6046962752098493
18,0.2326753,1.6102128633509145,0.22444299,1.6049669085761353
19,0.23386304,1.6060336373580393,0.22411533,1.6049638855347939
20,0.23427261,1.6165332802001333,0.22034732,1.6109539910975166
21,0.23476408,1.6299243710769113,0.22296855,1.6121232287755645
22,0.23365825,1.6353341326957294,0.22526212,1.6048877022057029
23,0.23414974,1.6141069869695142,0.2257536,1.6043492394693557
24,0.23468217,1.6090844778995839,0.2250983,1.6057949789542203
25,0.23337156,1.6223108504421588,0.2178899,1.6139102552383944
26,0.23439547,1.6079667611328365,0.22608125,1.604939774635735
27,0.23443644,1.6089248904081972,0.2250983,1.6077229200153176
28,0.23394495,1.6040421469652169,0.2239515,1.6056396575305283
29,0.23509175,1.6381163886146495,0.2269004,1.6053683631229525
30,0.2354194,1.6352223820330118,0.22378768,1.607583976979337
31,0.23439547,1.6635496566367494,0.22427917,1.6073854478908554
32,0.2352146,1.6505711753590235,0.22558978,1.6057853875278958
33,0.23435453,1.6070391734961913,0.22378768,1.6080853023504054
34,0.23410878,1.635399850605356,0.2232962,1.6084789387676695
35,0.23533748,1.674814484222532,0.22624509,1.60785255191523
36,0.23472314,1.6336192675374281,0.22460681,1.605674510545843
37,0.23591088,1.6061712814346054,0.22640891,1.608516188624021
38,0.23488696,1.6054378997920224,0.22427917,1.6106621283222464
39,0.23570609,1.6193610965658765,0.2257536,1.6092433324803843
